,0,1,2,3
28089,-1.2848043,0.25204697,0.1635683,0.39707103
9080,-0.99234843,0.46019226,1.2557138,-0.58029807
59014,-1.6649489,-1.3452114,0.39632964,-0.29538223
44787,-0.26602045,-0.13653883,-1.89916,-0.15508713
76178,2.2147443,-0.3411937,-1.0119163,0.79706115
24557,0.06212244,-1.4735974,0.56245667,-0.035177555
39866,2.0973203,0.41618878,0.41231784,-0.16819832
17156,-1.0505115,-0.7979122,-0.6828081,0.23588823
62026,2.7222264,0.5840602,0.14006963,0.32030112
50131,-1.0246997,-0.12366156,-1.0519806,0.8716801
65799,-0.13298514,0.45275503,-0.7862653,-0.70585036
37520,-0.3478452,2.0449545,-2.2145815,0.38467023
45922,-1.0157355,0.12740631,-0.40842414,-1.3946884
46869,0.590215,0.83179563,-1.6246485,-0.27338287
41144,-0.13753201,0.52995807,-0.9710731,-0.2847715
70837,1.4689337,1.9572151,-1.2172225,-0.40465257
40989,-1.5824901,0.20824666,-0.5066952,-0.1403632
24052,-0.22248864,-0.916823,-0.19133648,0.09983507
32596,-0.018184884,1.7586951,-0.04471269,-0.69779116
75944,-0.3323826,0.22644855,-1.2279183,-1.332766
8185,1.1081818,-0.030712921,0.3995483,-1.6926864
28554,1.5551816,0.8966661,0.2856307,-0.10488687
49320,0.5538526,-1.2364907,-1.2099754,0.54737604
47926,-1.885458,1.1246614,0.1481037,-0.1738424
2900,-1.2884234,-0.334568,-0.004579481,-1.0173585
12146,0.4466196,0.5246457,-0.2711709,0.19459298
61040,3.152111,0.7175869,0.20342486,0.96178776
3786,-0.463084,-0.83491164,0.53517747,0.03128795
58650,1.3852932,-2.0902016,-0.25804624,1.4298315
25747,2.8353193,-1.3087217,1.2124609,1.4319254
19300,-0.8142943,-0.7723387,0.66455734,0.6343823
55114,0.8450092,-1.553851,-0.044916768,1.2205439
73281,1.2106419,0.35864222,1.2408746,-0.10898193
15071,0.43324924,0.8123504,0.84241617,-0.62127733
8773,-0.2358963,0.76239026,1.8781623,-0.12694405
59680,0.18749787,-1.1512239,-0.82424146,-0.51132745
52773,0.10453894,-2.5917377,0.005897261,0.0181422
64175,1.7217762,0.054092277,-0.8082766,-0.3354857
56627,-0.035498843,-1.0739548,-1.073879,-0.08263983
47066,-0.32339412,0.49910584,-0.8146941,-0.73244137
3658,-1.4198049,-1.1972716,-0.4837952,-0.123798706
70356,2.7277107,1.7212905,-0.5497448,1.1391847
24773,-1.3067737,-0.8024473,1.255645,0.678828
63074,0.9420723,-0.20813085,0.103549674,-0.7869067
22889,-0.2946862,-0.65338933,0.8343021,-0.8776541
13136,0.37915996,0.65405905,1.6418935,0.006335981
32436,-0.83402187,0.04346639,0.69840294,1.019938
29715,-0.5090102,-1.4786956,-0.6521764,0.39959672
64861,1.179747,0.078782275,-1.869856,0.3648218
65101,-0.32450163,0.14678775,-0.6714705,-0.54349875
17513,-0.9613363,-0.7256109,-0.41728076,0.8148509
49046,0.4875193,-0.74240416,0.021663737,-0.3868261
52789,0.12132786,-2.665778,-0.02093815,0.11320058
41696,-0.2792531,0.46320897,-0.13864312,-0.9328618
49382,2.6314836,-0.5866692,0.736622,0.5980497
72704,-0.2304929,-0.77779716,0.36875752,0.32905382
46850,0.25839794,1.1335132,-1.3710992,0.07086865
6398,0.6038584,0.49822843,1.5426829,-0.12166315
67191,0.83470815,-2.5095057,0.6828342,0.041665602
69902,1.0066603,0.33798113,0.44383216,-1.214041
57816,0.08834849,-0.47896892,-0.18233281,-0.13416485
66892,0.55198425,1.4129297,-1.5732121,0.81853354
68110,-1.759117,-0.36622137,-0.91758823,0.24563216
33528,-0.4784759,1.6996543,-0.83890253,-0.2099529
34385,-0.5548512,2.1388044,-0.8873079,-0.24686205
