,PTA.X1311.PV_TRAN
28089,1
9080,0
59014,1
44787,1
76178,1
24557,0
39866,1
17156,0
62026,1
50131,1
65799,1
37520,0
45922,0
46869,1
41144,0
70837,1
40989,0
24052,0
32596,0
75944,0
8185,0
28554,1
49320,1
47926,0
2900,0
12146,0
61040,1
3786,0
58650,1
25747,1
19300,0
55114,1
73281,1
15071,0
8773,0
59680,0
52773,1
64175,1
56627,0
47066,0
3658,0
70356,0
24773,0
63074,1
22889,0
13136,0
32436,1
29715,1
64861,1
65101,1
17513,0
49046,1
52789,1
41696,1
49382,1
72704,1
46850,1
6398,0
67191,0
69902,0
57816,1
66892,1
68110,0
33528,0
34385,0
14017,0
30994,1
7716,0
11714,0
32893,0
50469,1
69687,1
40764,0
29158,1
6757,0
6680,0
54028,1
60567,1
39147,1
56706,1
45088,0
64446,1
6653,0
67142,1
54464,1
1180,0
10339,0
26788,0
52715,1
51351,1
44108,0
37666,0
11397,0
26278,1
17420,0
70652,0
65602,1
64525,1
37817,0
57960,1
6943,0
6284,0
46628,0
27976,1
63378,1
37196,0
6703,0
10801,0
59167,1
29052,1
33681,0
9830,0
8366,0
24420,0
13761,0
16453,0
68750,1
26599,0
56865,0
8629,0
47479,1
35482,0
17229,0
19827,0
59538,1
72739,1
67558,0
73382,1
15911,0
16302,0
6296,0
32485,0
12646,0
53372,1
11017,0
8328,0
74618,0
40883,0
48293,1
5966,0
36409,0
21901,0
65765,0
15585,0
26670,1
42174,0
72468,1
181,0
17153,0
9329,0
26901,1
66497,1
55182,1
74231,1
5551,0
62488,0
40554,1
27668,1
5919,0
26204,0
74282,1
380,0
29953,1
28999,1
75629,1
50185,1
40945,0
962,0
11215,0
58152,1
24041,0
10763,0
70165,1
26883,0
58718,1
73242,1
13538,0
69617,1
47611,1
23995,0
74838,0
44658,0
42381,0
55920,1
6033,0
57288,1
40952,0
37704,1
17463,0
17426,0
58644,1
32934,0
22517,0
75465,1
26984,0
24655,0
74415,1
25325,1
62204,0
37688,0
37331,0
62502,1
39931,1
12325,0
41459,0
29529,1
26325,1
36886,0
20823,0
54062,1
10008,0
70435,1
31722,1
32949,0
36208,0
23521,0
13155,0
9301,0
18349,0
44639,0
5163,0
10956,0
9284,0
22737,0
57735,1
24654,0
21847,0
17273,0
42899,1
38082,1
19821,0
13856,0
55558,1
19599,0
75299,1
51954,1
72501,1
10097,0
59674,0
67945,1
74298,1
32860,0
29085,1
8087,0
16159,0
70806,1
39957,1
38890,0
13631,0
44195,1
63191,1
8119,0
32561,0
61934,1
8807,0
66328,1
11005,0
52340,0
45590,0
38091,1
36040,0
29891,1
31422,1
9675,0
54177,1
11490,0
14614,0
38081,1
29289,1
8252,0
64646,0
37152,0
14448,0
70868,1
11127,0
23702,0
1503,0
36923,0
53577,1
16406,0
20057,0
31166,1
16844,0
38171,1
13800,0
56552,0
72189,1
68434,0
42974,0
39507,1
5590,0
13524,0
39869,1
23964,0
23480,0
59311,1
464,0
44999,0
73796,1
23051,0
1702,0
2545,0
44169,0
46930,1
40453,1
51825,1
71512,1
31080,1
10156,0
46773,1
6691,0
11732,0
23961,0
72474,1
50596,0
61957,1
20762,0
5524,0
69432,0
31285,1
76493,0
6540,0
66565,0
63369,1
63576,1
72386,1
41898,0
37257,0
72342,1
8828,0
15748,0
8325,0
21547,0
11987,0
14952,0
34031,0
66896,1
24929,0
35332,0
47778,1
54899,1
52713,1
38289,1
68647,0
54227,1
61751,1
8193,0
1648,0
18612,0
64124,1
43079,0
69273,1
5940,0
70097,1
60617,0
29696,1
68378,0
1066,0
17179,0
22900,0
17773,0
63070,1
3614,0
40788,0
74662,1
3858,0
48805,1
17444,0
33316,0
24865,0
70917,0
15637,0
64711,0
71365,0
61740,1
42142,0
27172,1
36474,0
51445,1
3544,0
66748,1
5878,0
30071,1
30248,1
3587,0
50241,1
74615,0
29443,1
40476,1
38710,1
39786,1
729,0
3509,0
45998,0
10664,0
54609,1
48928,1
38854,0
32844,0
38794,1
23767,0
67346,1
51853,1
63884,1
48271,1
28605,1
43905,0
37867,1
12052,0
74394,1
34711,1
12863,0
11710,0
36512,0
5563,0
41210,1
37815,0
55790,1
18122,0
34722,1
30444,0
46440,1
29946,1
51291,1
13932,0
20504,0
41523,0
71962,1
61734,1
25116,1
40019,1
65520,1
29075,1
47501,1
60135,1
20805,0
55828,1
18854,0
27680,1
2324,0
52587,1
1390,0
73446,1
18516,0
23347,0
14047,0
10889,0
45001,0
46111,0
49061,1
25704,0
42678,1
15768,0
12505,0
68736,1
18452,0
69865,0
24132,0
38438,1
74678,1
14200,0
44455,1
47684,1
49092,1
1659,0
67741,1
70640,0
25233,1
60221,1
46702,0
42076,1
27158,1
69638,1
26193,0
18459,0
74313,1
71953,1
74080,1
49514,1
2344,0
14829,0
13919,0
63320,1
59754,0
71720,1
56887,0
13064,0
22194,0
45415,1
66514,0
11878,0
19264,0
42294,0
48630,1
39582,1
41203,1
30761,1
16324,0
14184,0
16835,0
12236,0
26588,0
17939,0
19150,0
3261,0
23635,0
66508,0
54695,1
12592,0
71015,0
6125,0
56671,1
73864,1
61632,0
23878,0
21217,0
72734,1
74360,1
21178,0
37459,0
16924,0
9393,0
52467,1
55855,1
40052,1
69173,0
10423,0
32984,0
24034,0
23729,0
75521,1
60657,0
19354,0
62333,0
53165,1
66316,0
8659,0
16289,0
55478,1
36645,0
26736,1
27229,1
61668,1
12378,0
20418,0
73836,1
38824,1
47476,1
7172,0
47950,0
28421,1
5709,0
5685,0
38765,1
70195,1
53794,1
48493,1
31372,1
75251,1
23796,0
62725,0
46648,0
63669,1
5951,0
51833,1
2874,0
795,0
51324,1
42931,1
20532,0
51701,1
42153,0
20425,0
62899,1
33694,0
29484,1
23945,0
76364,1
56677,1
68206,1
19394,0
62480,0
41650,0
64999,1
35270,0
43285,1
36665,0
34907,0
22002,0
34550,0
48413,1
42722,1
6692,0
67458,1
51397,1
62512,1
70358,0
25766,0
9219,0
75069,1
64129,1
23186,0
53615,1
22756,0
6952,0
13847,0
49781,1
15566,0
54113,1
41246,1
44100,0
45595,0
21358,0
58495,1
74944,1
9697,0
16228,0
2076,0
26782,1
8843,0
13769,0
6456,0
44421,1
51491,1
9961,0
71371,0
54941,1
18364,0
31233,1
59138,1
3358,0
8721,0
34042,0
18068,0
65122,1
55786,1
22875,0
35861,0
65202,1
10428,0
73616,1
14483,0
70046,1
16017,0
43077,0
40156,1
25525,1
74643,1
27053,1
8009,0
70191,1
28148,1
71195,1
20968,0
29748,1
20725,0
41143,0
65028,0
59604,0
46596,0
11876,0
4199,0
75233,1
200,0
68599,0
71002,0
51088,0
31932,1
43744,1
26365,1
22990,0
49817,1
76520,1
3102,0
37824,0
11097,0
31286,1
25293,1
51564,1
75253,1
16966,0
16318,0
37473,0
30500,1
48951,1
10291,0
54768,0
71750,1
1155,0
36443,0
53979,1
840,0
65571,1
68960,1
33127,0
11715,0
63496,0
12108,0
30080,1
17126,0
72033,1
59930,0
50476,1
65913,1
10129,0
19720,0
13171,0
42527,0
61711,1
53984,1
54179,1
37100,0
65691,0
1969,0
57933,1
54963,1
60678,0
15306,0
46241,0
20252,0
68851,1
4123,0
57265,1
23256,0
64613,0
73128,1
14653,0
60582,0
11627,0
47598,1
16607,0
72484,1
64365,1
23593,0
49184,1
57530,0
57419,1
51813,1
37149,0
23113,0
22359,0
18638,0
35311,0
36772,0
55356,1
25140,1
35213,0
9247,0
27894,0
7885,0
43683,1
15568,0
7389,0
23465,0
62075,1
58013,1
20247,0
29205,1
35319,0
43072,0
42739,1
47090,0
9712,0
43288,1
64597,0
75028,1
3942,0
48,0
73245,1
68705,0
60010,0
1559,0
2063,0
9289,0
13699,0
71431,1
52893,1
33666,0
18113,0
31728,1
56542,0
20566,0
34726,1
11499,0
31579,0
32603,0
73398,1
17719,0
50739,1
48990,1
6879,0
8654,0
31601,0
41746,1
69495,1
3387,0
1006,0
64066,1
31796,1
55191,1
71947,1
24182,0
37961,0
24085,0
30284,1
51475,1
21887,0
47984,0
7407,0
75060,1
15787,0
53475,1
43739,1
68076,1
75853,1
72680,0
5385,0
27780,1
58477,1
58328,1
2936,0
19593,0
10567,0
28158,0
13881,0
42249,0
18530,0
56490,1
43856,0
33606,0
17575,0
74022,1
16310,0
43061,0
67452,1
17265,0
39048,0
21837,0
18950,0
19453,0
71242,1
19514,0
12264,0
27702,1
8369,0
23989,0
66098,1
54233,1
36238,0
21127,0
51586,1
70349,0
24190,0
41134,0
36648,0
53657,1
49889,1
59147,0
1003,0
31251,1
17521,0
46168,1
49875,1
32491,0
30052,1
58008,1
31766,1
19823,0
37147,0
45247,0
36465,0
40051,1
55225,1
19035,0
24650,0
17325,0
22609,0
20707,0
613,0
44860,1
52305,1
32996,0
27905,0
24039,0
22410,0
58507,1
75783,1
3530,0
16564,0
25699,1
65654,1
27129,1
66899,0
37921,1
28544,1
11541,0
42877,1
39491,1
46411,1
46099,0
24748,0
57436,0
61465,1
19804,0
27198,1
30770,1
37462,0
57756,1
41967,0
63410,1
46389,1
22580,0
3081,0
37918,1
30964,1
5340,0
28330,1
31851,1
30331,1
7771,0
71174,1
72247,1
22592,0
8656,0
38879,0
13667,0
47609,0
4280,0
4178,0
36895,0
11290,0
73243,1
65022,0
12555,0
31571,0
68123,0
54299,1
58306,1
14056,0
63,0
60517,1
16141,0
15184,0
18833,0
57708,1
58015,1
52,0
19469,0
23011,0
54531,1
49000,1
45528,0
20526,0
41659,0
58219,1
58326,1
19015,0
2785,0
33919,0
74183,1
10170,0
52673,1
23033,0
64058,1
51333,1
50986,1
61669,1
37185,0
40832,0
49757,1
37705,0
65340,1
53315,1
11686,0
64594,0
16422,0
21654,0
69664,1
21049,0
43958,0
38225,1
55376,1
12446,0
21195,0
1102,0
39192,1
28205,1
68095,0
55963,1
281,0
62647,1
8854,0
69059,0
32366,1
34772,1
8915,0
25800,0
30418,1
36220,0
29300,1
19102,0
6147,0
45231,0
36961,0
10072,0
74948,1
1432,0
33695,0
44828,1
24673,0
62443,1
71094,1
67800,1
40850,0
68665,0
36845,0
28333,1
37468,0
52217,0
61431,1
19784,0
22337,0
61738,1
73706,1
33264,0
8346,0
8920,0
50262,1
13807,0
50488,1
73679,0
66386,1
62231,0
29746,1
1991,0
33263,0
48695,0
25628,1
42059,1
14570,0
2115,0
10632,0
21399,0
64582,1
70649,0
58716,1
64227,1
74266,1
52857,1
42960,0
6869,0
66511,0
47218,0
69155,1
15217,0
19797,0
7076,0
56157,1
28830,1
24594,0
13621,0
2554,0
69507,1
37087,0
72103,1
44884,1
41419,0
62286,0
30185,1
36873,0
49876,0
62820,0
28308,1
31066,1
33426,0
14780,0
17442,0
32618,0
67819,1
26995,0
22983,0
51662,1
63828,1
29264,1
60921,0
37565,0
54770,0
41368,1
40552,1
62708,1
10200,0
34494,0
34558,0
76201,1
63099,1
47834,0
56272,1
10590,0
6087,0
66713,0
66512,0
4141,0
24288,0
3311,0
9285,0
57674,1
42584,1
46757,0
37252,0
52863,1
11147,0
74642,1
30945,1
18972,0
16951,0
17149,0
52356,1
39737,1
44641,0
57863,1
67502,1
58484,1
53569,1
72630,1
17510,0
44886,1
38340,1
71159,1
50720,1
53110,1
43738,1
9779,0
52650,1
46155,1
35160,0
43832,1
60585,0
39240,1
50486,1
49674,1
17294,0
76586,1
45765,0
39613,0
21531,0
10009,0
53404,1
55230,1
19538,0
65062,1
49091,1
13416,0
51243,1
151,0
9374,0
33724,0
58817,1
16548,0
34092,0
39356,1
67834,1
47102,0
35361,0
69125,1
50891,1
27269,0
2695,0
71787,1
24705,0
53270,1
76126,1
32437,1
72336,1
65672,0
32594,0
8546,0
48418,1
26862,0
69543,1
75708,1
54934,1
10877,0
29388,1
68133,0
56105,1
37625,0
26374,1
5036,0
10127,0
42626,1
10519,0
62019,1
34450,0
15046,0
10530,0
18695,0
13249,0
76589,1
8874,0
54951,1
75801,1
46699,0
38322,0
8309,0
71802,1
58078,1
55724,1
59984,0
47546,1
1925,0
21782,0
30513,0
58784,1
65696,0
56116,1
17257,0
10587,0
55333,1
29033,1
5469,0
11837,0
40223,1
54626,1
43601,0
62241,0
29054,1
32991,0
27631,1
9068,0
7659,0
15437,0
54260,1
40742,0
65129,1
37432,0
72323,1
12992,0
25934,1
27650,1
31361,1
70107,1
11606,0
64258,1
17488,0
9920,0
41215,1
14501,0
13519,0
45262,1
15695,0
60007,0
54069,1
1971,0
1043,0
45665,1
5953,0
26579,1
6730,0
64583,1
45781,0
10246,0
5711,0
19917,0
1606,0
70290,0
5051,0
33342,0
40488,1
75568,1
17285,0
23978,0
32717,0
62585,0
27185,1
45487,1
40477,1
40548,1
2515,0
48290,1
39305,1
10809,0
73893,1
37929,1
69286,1
17120,0
3003,0
34857,0
58011,1
19733,0
35338,0
54333,1
63831,1
59068,1
60893,1
63170,1
64020,0
57855,1
15181,0
49354,1
54782,1
32620,0
39836,1
56371,1
75122,1
25268,1
61131,1
53465,1
22193,0
48991,1
15622,0
19314,0
68781,1
20817,0
7449,0
42518,1
29091,1
29575,1
17834,0
13578,0
11781,0
74245,1
69786,0
53780,1
75838,1
70770,1
17564,0
34646,0
20216,0
72030,1
19812,0
26493,1
18287,0
47048,1
39357,1
64253,1
6083,0
70616,1
45422,1
37216,0
66664,0
43018,1
48855,1
15097,0
14257,0
42793,1
10977,0
52096,1
37550,0
37284,0
8636,0
16814,0
13635,0
63414,1
33340,0
68177,1
24475,0
59808,0
16956,0
45373,1
45215,0
51929,1
5449,0
44946,1
23096,0
16927,0
56576,1
2816,0
57935,1
63249,1
24806,0
58272,1
2319,0
53611,1
56482,1
11888,0
72872,1
17434,0
17047,0
23294,0
45808,0
47092,0
64940,1
68909,0
43212,0
63765,1
22487,0
8382,0
68848,1
18428,0
34931,0
6860,0
50149,1
31266,1
67730,1
33956,0
10514,0
31424,1
48909,1
16990,0
13749,0
21535,0
30537,1
70831,1
25027,0
50349,1
19905,0
30931,1
52903,1
13071,0
2020,0
75008,1
55757,1
30424,1
28699,1
14133,0
73276,1
65255,1
47135,0
25856,1
19600,0
32944,0
52984,1
70124,1
29138,1
53612,1
74867,1
36859,0
55272,1
9523,0
60409,0
32188,1
21102,0
32028,1
9298,0
38083,1
68564,0
72628,1
7030,0
38261,0
66403,1
8694,0
64729,1
21406,0
31191,1
41001,0
43428,0
29571,1
9698,0
9868,0
67638,1
71882,1
56590,0
8479,0
68230,1
15397,0
38425,1
25107,0
14773,0
61842,1
36590,0
56289,0
8430,0
42675,1
67930,1
16537,0
36833,0
11381,0
37780,0
1673,0
73638,1
75597,1
8601,0
23364,0
58379,1
33703,0
56051,1
69118,1
19824,0
8060,0
23015,0
76144,0
75354,1
75059,1
58668,0
43835,0
65399,1
37937,1
18049,0
66286,0
2201,0
2550,0
26479,1
53793,1
52466,1
1516,0
72091,1
58755,1
17546,0
48520,1
43624,0
58123,0
64260,1
18397,0
24129,0
65441,1
7791,0
69994,0
62780,1
62523,0
58067,1
53635,1
65598,1
47345,0
31663,0
35212,0
36195,0
35392,0
50336,1
8070,0
75702,1
47001,0
72075,1
45378,1
47971,0
55674,1
62620,1
28117,0
40962,0
49356,1
55754,1
72346,1
29740,1
10862,0
38271,0
73300,1
45712,1
52171,1
21608,0
75781,1
30674,1
34308,1
50985,1
46203,1
12480,0
5740,0
65011,1
9069,0
54924,1
38565,1
26889,0
74503,1
38882,0
19618,0
12143,0
65162,1
822,0
67370,1
53578,1
23956,0
32507,0
49371,1
76463,1
60394,1
26432,1
65835,0
8047,0
72014,0
47421,1
60950,0
65087,1
53305,1
45264,1
31528,0
22105,0
8085,0
38410,1
29952,1
53786,1
7953,0
28606,1
34783,1
66768,1
51930,1
21825,0
65695,0
21492,0
50155,1
33162,0
19663,0
31350,1
11260,0
54952,1
72665,1
38203,0
41920,0
27436,0
43153,0
213,0
35932,0
70551,0
23895,0
14852,0
44383,1
10892,0
19502,0
45389,1
57827,1
71784,0
43594,0
7458,0
53775,1
13305,0
51707,1
1599,0
35358,0
26877,0
27347,1
54204,1
73049,1
44339,1
41103,1
60802,1
52858,1
20710,0
51812,1
2685,0
65234,0
69068,1
832,0
15033,0
41214,1
59658,0
34529,0
3603,0
22538,0
51617,1
65828,0
53876,1
32552,0
68612,0
26275,1
3529,0
62116,0
10591,0
26196,0
70794,1
58566,1
34967,0
15332,0
55043,1
26190,0
24369,0
11468,0
11753,0
17765,0
31146,1
7289,0
19978,0
56384,1
52160,1
42656,1
67836,1
64030,1
52361,1
37339,0
20334,0
56411,1
32834,0
20347,0
49650,1
58740,0
9210,0
40596,1
62220,0
70077,1
62276,0
19321,0
18613,0
13069,0
42457,0
1717,0
38382,1
65270,1
64490,0
24208,0
41966,0
29803,1
49772,1
33651,0
75180,1
14403,0
36970,0
19742,0
37450,0
34035,0
63690,1
24847,0
22462,0
9125,0
1388,0
71293,1
32766,0
51810,1
23076,0
58748,0
35506,0
16030,0
61770,1
19637,0
50399,1
39014,0
70760,1
29491,1
18476,0
50998,1
33734,0
24094,0
8141,0
47854,1
67041,0
12531,0
39239,1
29441,1
11274,0
73486,1
23365,0
50961,1
58852,1
36818,0
45076,0
42721,1
35858,0
12664,0
43000,1
982,0
47165,0
31486,1
71547,1
68602,1
17565,0
69749,1
53828,1
65521,1
54726,1
17203,0
30577,1
26305,1
40362,1
59194,1
6938,0
21512,0
38389,1
12856,0
65786,0
4212,0
11607,0
37529,0
372,0
48310,1
10296,0
57473,0
28431,1
14410,0
73637,1
19522,0
47375,0
53836,1
382,0
53245,1
51506,1
44114,1
4283,0
60603,0
76050,0
62970,1
20536,0
6064,0
49195,1
30035,1
37671,0
70633,0
9750,0
41398,1
40131,0
59130,1
47067,0
64421,1
63660,0
11244,0
34357,0
33366,0
23529,0
32849,0
60948,0
67366,1
41017,0
1112,0
70489,0
33164,0
3437,0
15504,0
2848,0
32455,1
52653,1
70631,1
28827,1
63842,1
4927,0
73361,1
71479,1
24239,0
2686,0
24284,0
33955,0
36669,0
48277,1
25066,0
4569,0
42830,0
43831,1
26428,1
13587,0
71466,1
28534,1
66982,1
2620,0
68634,1
11958,0
9618,0
25440,0
24233,0
13394,0
22021,0
32247,1
10466,0
37536,0
28058,1
1364,0
11868,0
17669,0
67872,1
756,0
25969,0
34352,0
48254,1
46511,0
66684,1
10728,0
76205,1
42487,0
51788,1
4089,0
12241,0
44894,1
9414,0
37325,0
57495,0
55426,1
26513,1
2533,0
61961,1
56775,1
47463,1
34672,0
28359,1
18196,0
37344,0
57299,1
68289,0
17934,0
39745,1
16963,0
7259,0
3340,0
37891,1
